,asin,title,categories
1,0785117210,House of M,Books
2,0785121056,Infinity War,Books
3,140122427X,Fables: The Deluxe Edition Book One,Books
4,1401229697,Daytripper,Books
5,1401230067,"John Constantine, Hellblazer, Vol. 1: Original Sins",Books
6,1401233791,"Batman: Knightfall, Vol. 1",Books
7,1401233384,Flashpoint,Books
8,1401237789,Batman Vol. 2: The City of Owls (The New 52),Books
9,1401242383,The Planetary Omnibus,Books
10,1401246028,Batman Vol. 3: Death of the Family (The New 52),Books
11,1401244017,Batman: Dark Victory (new edition),Books
12,1423167228,5-Minute Marvel Stories (5-Minute Stories),Books
13,1484712676,World of Reading This is Captain America: Level 1,Books
14,B002095J4G,Marvel Comic Book Lot 50 Comics Good Condition!,Books
1,0316107255,Penguin Dreams and Stranger Things (A Bloom County Book),Books
2,0345507460,The Dresden Files: Welcome to the Jungle,Books
3,0345529375,Seconds: A Graphic Novel,Books
4,0375424334,Building Stories,Books
5,0375424148,Habibi,Books
6,0375714766,"Good-bye, Chunky Rice",Books
7,0375714839,The Complete Persepolis,Books
8,039332804X,A Contract with God,Books
9,0393930912,The Seagull Reader: Stories (Second Edition),Books
10,0439895294,The Arrival,Books
11,0440423236,A Game of Thrones: The Graphic Novel: Volume Three,Books
12,0544002237,Are You My Mother?: A Comic Drama,Books
13,0544103882,The Best American Essays 2013,Books
14,0670025941,Collision 2012: Obama vs. Romney and the Future of Elections in America,Books
16,0785113916,Punisher MAX Vol. 1: In the Beginning,Books
17,0785114823,Avengers Disassembled,Books
18,0785115315,"Astonishing X-Men, Vol. 1: Gifted",Books
19,0785114793,"New Avengers, Vol. 1: Breakout",Books
21,0785118055,"Powers: The Definitive Hardcover Collection, Vol. 1",Books
22,0785117148,"X-Men: The Complete Age of Apocalypse Epic, Book 1",Books
23,0785117598,"Astonishing X-Men, Vol. 3: Torn",Books
24,0785118306,X-Men: Deadly Genesis,Books
25,0785118748,"X-Men: The Complete Age of Apocalypse Epic, Book 2",Books
